,playername,gamesPlayed,gamesStarted,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies,plateAppearances,rbi,leftOnBase,babip,atBatsPerHomeRun,passedBall,catcherERA
678246,Miguel Vargas,15,4,0,0,0,0,.000,0.00,-.--,0.0,4,0,0,0,9,16,3,1,0,1,13,1,0,8,0,.178,45,.191,.267,.458,0,1,1.000,0,190,,,,,,,,,,,,,,,,,,,,,,12,0.56,,,,,,,,,,,,0,0,1,47,8,21,.219,45.00,,
605141,Mookie Betts,1,0,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,125,188,116,40,3,35,102,54,0,153,8,.271,564,.341,.539,.880,2,12,.857,8,2399,,,,,,,,,,,,,,,,,,,,,,304,0.66,,,,,,,,,,,,0,0,4,630,82,196,.274,16.11,,
592454,Tommy Kahnle,12,0,2,4,0,6,1.000,0.50,4.91,11.2,12,0,0,0,13,5,4,0,0,2,14,3,0,5,3,.139,36,.256,.306,.562,0,0,.---,2,158,3.09,11.2,0,0,1,1,1,0,4,0.69,43,35,12,0,0,108,.680,3,0,1,0,11,2.60,.---,13.54,2,4.67,10.80,2.31,3.86,3.09,1.54,0,0,0,0,1,,,,,,,
572204,Trayce Thompson,3,2,0,0,0,0,.000,0.00,-.--,0.0,3,0,0,0,4,2,1,0,0,0,7,2,0,1,0,.071,14,.188,.071,.259,1,0,.000,0,72,,,,,,,,,,,,,,,,,,,,,,1,2.00,,,,,,,,,,,,0,0,0,16,2,8,.143,-.--,,
607208,Trea Turner,156,156,328,173,16,517,.969,3.21,3.33,1353.2,156,54,0,9,154,174,100,39,4,20,127,44,1,191,3,.298,640,.343,.466,.809,3,27,.900,9,2674,,,,,,,,,,,,,,,,,,,,,,298,0.89,,,,,,,,,,,,2,0,6,695,97,259,.343,32.00,,
542881,Tyler Anderson,30,28,31,13,3,47,.936,1.52,2.29,173.2,29,2,0,2,166,212,57,31,6,14,136,34,0,143,9,.220,650,.267,.351,.618,1,4,.800,16,2555,2.60,176.2,15,4,0,0,0,0,51,1.00,700,530,30,0,0,1759,.690,9,0,6,1,228,0.78,.789,14.46,0,4.00,6.93,1.73,7.28,2.90,0.71,0,0,0,3,4,1,0,1,.---,-.--,,
669257,Will Smith,135,24,0,0,0,0,.000,0.00,-.--,0.0,25,0,0,0,100,175,68,26,3,24,94,56,4,132,10,.266,497,.349,.475,.824,0,1,1.000,11,2328,,,,,,,,,,,,,,,,,,,,28,1,236,0.57,,,,,,,,,,,,0,0,4,567,87,242,.282,20.71,4,2.60
622075,Yency Almonte,31,0,3,3,1,7,.857,0.19,1.64,33.1,31,0,0,0,35,29,4,4,0,2,33,10,1,18,3,.158,114,.242,.246,.488,0,2,1.000,4,447,1.08,33.1,0,0,1,2,8,1,4,0.84,128,100,31,0,0,290,.650,3,0,0,0,28,1.21,.---,13.41,3,3.30,8.91,2.70,4.86,1.08,0.54,7,2,0,0,1,,,,,,,
676265,,15,8,1,2,0,3,1.000,0.20,0.61,44.0,15,0,0,0,26,65,26,10,0,11,39,21,0,39,4,.232,168,.330,.488,.818,1,4,.800,0,757,5.11,44.0,0,4,0,0,0,0,25,1.36,194,132,15,0,0,474,.630,4,0,1,0,82,0.40,.000,17.20,7,1.86,7.98,4.30,7.98,5.32,2.25,2,0,0,0,1,,,,,,,
670970,Adrian Morejon,25,0,2,1,1,4,.750,0.12,0.84,32.0,25,0,0,1,21,48,18,4,0,4,26,8,1,30,1,.242,124,.291,.371,.662,0,2,1.000,3,504,4.50,32.0,4,1,0,0,5,0,16,1.19,134,96,25,0,0,334,.660,1,0,0,0,46,0.44,.800,15.75,6,3.25,7.31,2.25,8.44,5.06,1.13,9,0,0,0,1,,,,,,,
