,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,gamesStarted,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,passedBall,catcherERA
518626,Josh Donaldson,23,91,98,46,26,0,12,124,44,1,86,6,.218,395,.303,.375,.678,2,2,.500,10,1794,449,148,50,173,0,4,.281,0.93,0,32.92,23,0,0,0,0,.000,0.00,-.--,0.0,23,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543309,Kyle Higashioka,1,36,67,20,5,0,7,42,10,0,33,1,.191,173,.235,.341,.576,12,15,.556,2,710,189,59,21,78,2,3,.205,0.54,4,24.71,0,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,12,0,,,,,,,,,,,,5,3.59
642152,Lou Trivino,14,16,10,3,1,0,0,10,7,0,9,1,.200,45,.321,.222,.543,1,0,.000,0,201,,10,,,0,0,,1.60,0,,0,3,2,0,5,1.000,0.36,3.75,12.1,14,0,0,0,0.73,12.1,1,2,0,0,0,0,1,1.30,53,37,14,0,0,124,.620,1,0,0,0,.333,16.30,6,1.43,7.30,5.11,6.57,2.19,0.00,16,3,,
476595,Lucas Luetge,41,36,53,16,8,0,4,49,14,1,45,2,.247,182,.307,.357,.664,0,0,.---,2,775,,65,,,0,1,,0.68,0,,0,3,1,2,6,.667,0.10,0.77,47.0,41,2,0,1,2.68,47.0,3,4,1,1,6,0,14,1.26,199,141,41,0,0,477,.620,2,0,0,0,.429,16.49,16,3.50,9.38,2.68,8.62,3.06,0.77,25,11,,
503556,Marwin Gonzalez,2,29,41,12,7,0,3,38,10,0,26,3,.200,130,.271,.323,.594,0,2,1.000,4,573,147,42,11,65,3,1,.256,0.71,0,43.33,0,0,0,0,0,.000,0.00,-.--,0.0,2,0,0,0,0.00,0.1,0,0,0,0,0,0,0,0.00,1,1,1,0,0,2,.500,0,0,0,0,.---,12.00,1,-.--,0.00,0.00,0.00,0.00,0.00,3,0,,
665828,Oswaldo Cabrera,9,8,23,3,3,1,0,14,3,0,12,0,.211,57,.250,.298,.548,2,0,.000,0,243,60,17,2,19,0,0,.279,0.35,0,-.--,8,3,19,0,22,1.000,2.44,2.61,76.2,9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676760,Ron Marinaccio,30,26,33,8,3,1,2,41,16,0,15,5,.132,114,.265,.228,.493,1,3,.750,2,589,,26,,,0,1,,0.79,1,,0,2,3,0,5,1.000,0.17,1.32,34.2,30,0,0,0,1.82,34.2,1,0,0,0,4,0,7,0.89,137,104,30,0,0,367,.620,5,0,5,0,1.000,16.99,7,2.56,10.64,4.15,3.89,2.08,0.52,20,5,,
543901,Ryan Weber,3,13,7,1,1,0,1,2,1,0,3,0,.120,25,.154,.280,.434,1,0,.000,0,93,,7,,,0,0,,1.86,0,,0,0,3,0,3,1.000,1.00,3.86,7.2,3,0,0,0,1.17,7.2,0,0,1,1,0,0,1,0.52,26,23,3,0,0,65,.700,0,0,0,0,.---,12.13,2,2.00,2.35,1.17,3.52,1.17,1.17,0,0,,
641796,Tim Locastro,2,10,12,10,0,0,2,6,2,0,6,1,.176,34,.243,.353,.596,1,7,.875,0,135,37,12,4,18,0,0,.154,0.83,0,17.00,0,0,0,0,0,.000,0.00,-.--,0.0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593974,Wandy Peralta,49,61,43,16,5,0,2,40,17,1,37,1,.208,178,.279,.270,.549,0,0,.---,6,733,,48,,,2,1,,1.42,0,,0,13,2,0,15,1.000,0.31,2.76,49.2,49,1,0,0,2.72,49.2,2,3,3,8,8,5,15,1.09,199,149,49,0,0,455,.620,1,1,1,1,.400,14.76,17,2.35,7.25,3.08,6.70,2.90,0.36,22,4,,
676265,,9,15,40,13,7,0,6,23,12,0,19,2,.196,97,.297,.454,.751,0,2,1.000,0,426,,44,,,0,0,,0.38,0,,4,1,0,0,1,1.000,0.11,0.36,25.2,9,0,0,0,4.56,25.2,0,2,0,0,0,0,13,1.21,111,77,9,0,0,270,.630,2,0,1,0,.000,16.60,5,1.92,8.06,4.21,6.66,4.56,2.10,2,0,,
548384,Brooks Raley,49,34,46,13,5,1,1,55,11,0,31,6,.189,164,.264,.250,.514,0,0,.---,1,713,,41,,,1,1,,0.74,0,,0,4,0,0,4,1.000,0.08,0.82,44.2,49,0,0,0,2.22,44.2,1,1,6,8,21,2,11,0.94,183,134,49,0,0,469,.660,6,0,3,0,.500,15.96,10,5.00,11.08,2.22,6.25,2.62,0.20,17,5,,
676534,Calvin Faucher,15,11,16,12,2,0,3,14,7,0,20,0,.328,61,.397,.508,.905,0,4,1.000,2,298,,31,,,0,0,,0.69,0,,0,1,0,0,1,1.000,0.07,0.69,13.2,15,0,0,0,6.59,13.2,1,3,0,1,1,1,10,1.98,68,41,15,0,0,179,.600,0,0,1,0,.250,21.80,6,2.00,9.22,4.61,13.17,7.90,1.98,5,1,,
542194,Christian Bethancourt,1,17,27,11,1,0,5,21,1,0,18,0,.217,83,.226,.410,.636,7,8,.533,1,275,84,34,9,35,0,0,.228,0.63,2,16.60,0,0,1,0,1,1.000,1.00,3.00,3.0,1,0,0,0,0.00,2.0,0,0,0,0,0,0,0,2.00,10,6,2,0,0,22,.790,0,0,5,1,.---,14.00,2,-.--,4.50,0.00,18.00,0.00,0.00,0,0,1,3.46
621363,Colin Poche,51,33,64,19,4,1,9,45,18,0,34,1,.197,173,.272,.387,.659,1,2,.667,0,771,,67,,,0,3,,0.52,0,,0,2,0,0,2,1.000,0.04,0.38,47.1,51,0,0,0,2.85,47.1,4,1,7,12,17,5,15,1.10,195,142,51,0,0,506,.660,1,0,2,1,.800,16.29,11,2.50,8.56,3.42,6.46,3.61,1.71,12,3,,
