,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,groundIntoDoublePlay,plateAppearances,totalBases,leftOnBase,sacBunts,sacFlies,catchersInterference,avg,obp,slg,ops,rbi,groundOutsToAirouts,strikeOutsperplateAppearance,homeRunsperplateAppearance,babip,normalized_avg,normalized_ops
677951,Witt Jr.,2,84,151,64,21,6,18,106,23,1,115,6,452,4,26,9,485.0,202,198.0,0,4,0,0.254,0.297,0.447,0.744,64.0,0.56,0.21855670103092784,0.03711340206185567,0.2921686746987952,103.01647655259825,104.12167743816512
664728,Kyle Isbel,2,49,53,24,8,4,3,58,8,0,43,3,200,3,8,5,214.0,68,102.0,1,2,0,0.215,0.254,0.34,0.594,20.0,0.92,0.27102803738317754,0.014018691588785047,0.28368794326241137,87.19898605830167,83.1294037611157
669004,MJ Melendez,17,78,89,39,15,2,14,100,50,1,75,1,335,8,22,2,393.0,136,143.0,0,7,0,0.224,0.321,0.406,0.727,46.0,0.88,0.2544529262086514,0.035623409669211195,0.2675438596491228,90.84917617237011,101.74255308809951
668472,Nick Pratto,1,19,26,10,7,1,4,45,13,0,19,1,106,0,0,5,123.0,40,40.0,1,2,0,0.179,0.27,0.377,0.647,12.0,0.73,0.36585365853658536,0.032520325203252036,0.2542372881355932,72.5982256020279,90.54667379367316
656811,Ryan O'Hearn,9,29,21,9,3,1,1,29,7,0,21,2,99,0,0,1,109.0,29,55.0,0,1,0,0.212,0.275,0.293,0.568,11.0,1.38,0.26605504587155965,0.009174311926605505,0.2857142857142857,85.98225602027884,79.49074299042712
521692,Salvador Perez,30,71,94,36,16,1,17,95,14,1,77,5,335,6,19,8,356.0,146,139.0,0,2,0,0.23,0.27,0.436,0.706,58.0,0.76,0.26685393258426965,0.047752808988764044,0.26666666666666666,93.28263624841573,98.8036347733126
668731,Akil Baddoo,2,26,34,14,1,0,1,41,12,0,24,0,125,3,4,2,137.0,28,48.0,0,0,0,0.192,0.263,0.224,0.487,5.0,0.76,0.29927007299270075,0.0072992700729927005,0.27710843373493976,77.87072243346009,68.15491520482044
606992,Eric Haase,8,50,60,28,11,1,9,74,20,0,56,0,237,9,19,4,260.0,96,110.0,0,3,0,0.236,0.292,0.405,0.697,35.0,0.83,0.2846153846153846,0.03461538461538462,0.29936305732484075,95.71609632446135,97.54409835268962
595879,Javier Baez,3,128,94,46,24,2,11,113,21,0,96,5,428,2,8,12,457.0,157,180.0,0,3,0,0.224,0.267,0.367,0.634,47.0,1.36,0.24726477024070023,0.024070021881838075,0.2768729641693811,90.84917617237011,88.72734340832888
600869,Jeimer Candelario,2,88,101,41,13,2,11,90,23,0,69,6,347,1,0,8,377.0,119,141.0,0,1,0,0.199,0.26,0.343,0.603,37.0,0.87,0.23872679045092837,0.029177718832891247,0.23481781376518218,80.70975918884665,84.38894018173866
408234,Miguel Cabrera,96,108,65,23,9,0,4,92,25,3,90,3,350,0,1,8,383.0,111,126.0,0,5,0,0.257,0.308,0.317,0.625,37.0,1.66,0.2402088772845953,0.010443864229765013,0.33204633204633205,104.23320659062105,87.46780698770591
682985,Riley Greene,61,72,39,33,12,3,5,81,20,0,63,1,254,4,1,8,276.0,96,91.0,0,1,0,0.248,0.304,0.378,0.682,28.0,1.85,0.29347826086956524,0.018115942028985508,0.3431952662721893,100.58301647655261,95.4448709849847
622682,Victor Reyes,4,56,51,18,14,2,1,55,11,0,63,1,223,2,2,5,237.0,84,75.0,0,2,0,0.283,0.316,0.377,0.693,24.0,1.1,0.2320675105485232,0.004219409282700422,0.3668639053254438,114.77820025348544,96.98430438796831
650489,Willi Castro,4,78,84,38,15,2,5,66,13,0,74,7,299,4,7,4,322.0,108,121.0,0,3,0,0.247,0.292,0.361,0.653,24.0,0.93,0.20496894409937888,0.015527950310559006,0.2987012987012987,100.17743979721168,91.38636474075514
