,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,groundIntoDoublePlay,plateAppearances,totalBases,leftOnBase,sacBunts,sacFlies,catchersInterference,avg,obp,slg,ops,rbi,groundOutsToAirouts,strikeOutsperplateAppearance,homeRunsperplateAppearance,babip,normalized_avg,normalized_ops
542932,Jon Berti,2.0,66.0,50.0,34.0,14.0,2.0,2.0,61.0,33.0,0.0,63.0,2.0,239.0,4.0,31.0,4.0,275.0,87.0,106.0,0.0,1.0,0.0,0.264,0.356,0.364,0.72,20.0,1.32,0.22181818181818183,0.007272727272727273,0.3446327683615819,107.36625042960249,99.73661106233538
663897,Luke Williams,1.0,19.0,22.0,18.0,4.0,1.0,1.0,31.0,8.0,1.0,23.0,0.0,95.0,3.0,11.0,0.0,103.0,32.0,43.0,0.0,0.0,0.0,0.242,0.301,0.337,0.638,3.0,0.86,0.30097087378640774,0.009708737864077669,0.3492063492063492,98.41906289380228,88.37771924690276
500743,Miguel Rojas,109.0,128.0,122.0,32.0,15.0,2.0,6.0,49.0,23.0,1.0,89.0,4.0,384.0,2.0,9.0,9.0,415.0,126.0,138.0,1.0,3.0,0.0,0.232,0.28,0.328,0.608,31.0,1.05,0.1180722891566265,0.014457831325301205,0.25,94.35215946843856,84.22202711930544
663743,Nick Fortes,8.0,33.0,43.0,28.0,4.0,1.0,7.0,29.0,9.0,0.0,32.0,5.0,137.0,8.0,14.0,5.0,151.0,59.0,61.0,0.0,0.0,0.0,0.234,0.305,0.431,0.736,18.0,0.77,0.19205298013245034,0.046357615894039736,0.24752475247524752,95.1655401535113,101.95298019705395
682928,CJ Abrams,2.0,41.0,32.0,16.0,5.0,0.0,2.0,27.0,4.0,0.0,29.0,6.0,125.0,2.0,1.0,4.0,139.0,40.0,60.0,2.0,2.0,0.0,0.232,0.285,0.32,0.605,11.0,1.28,0.19424460431654678,0.014388489208633094,0.2755102040816326,94.35215946843856,83.8064579065457
514917,Cesar Hernandez,123.0,137.0,136.0,55.0,25.0,3.0,0.0,97.0,36.0,0.0,119.0,6.0,485.0,3.0,8.0,9.0,531.0,150.0,159.0,3.0,1.0,0.0,0.245,0.305,0.309,0.614,26.0,1.01,0.18267419962335216,0.0,0.3059125964010283,99.6391339214114,85.0531655448249
660688,Keibert Ruiz,1.0,113.0,113.0,29.0,21.0,0.0,6.0,49.0,28.0,0.0,89.0,6.0,361.0,20.0,50.0,9.0,398.0,128.0,179.0,1.0,2.0,1.0,0.247,0.31,0.355,0.665,32.0,1.0,0.12311557788944724,0.01507537688442211,0.2694805194805195,100.45251460648414,92.11784216174033
657041,Lane Thomas,1.0,85.0,100.0,43.0,19.0,1.0,13.0,96.0,23.0,0.0,88.0,3.0,365.0,3.0,5.0,7.0,395.0,148.0,164.0,0.0,4.0,0.0,0.241,0.289,0.405,0.694,40.0,0.85,0.2430379746835443,0.03291139240506329,0.28846153846153844,98.0123725512659,96.13501121841772
671277,Luis Garcia,59.0,74.0,48.0,18.0,13.0,2.0,4.0,50.0,4.0,0.0,68.0,1.0,236.0,4.0,2.0,3.0,245.0,97.0,101.0,1.0,3.0,0.0,0.288,0.299,0.411,0.71,26.0,1.54,0.20408163265306123,0.0163265306122449,0.34594594594594597,117.12681865047543,98.35138035313629
572228,Luke Voit,69.0,52.0,73.0,38.0,18.0,0.0,13.0,110.0,39.0,1.0,67.0,3.0,298.0,1.0,1.0,5.0,344.0,124.0,133.0,0.0,4.0,0.0,0.225,0.317,0.416,0.733,48.0,0.71,0.31976744186046513,0.0377906976744186,0.3016759776536313,91.50532707068393,101.53741098429423
443558,Nelson Cruz,112.0,122.0,82.0,46.0,16.0,0.0,10.0,112.0,45.0,1.0,96.0,3.0,410.0,0.0,4.0,14.0,462.0,142.0,177.0,0.0,2.0,2.0,0.234,0.313,0.346,0.659,61.0,1.49,0.24242424242424243,0.021645021645021644,0.296551724137931,95.1655401535113,91.28670373622086
645302,Victor Robles,1.0,73.0,84.0,38.0,9.0,1.0,4.0,83.0,15.0,0.0,65.0,9.0,295.0,1.0,13.0,3.0,329.0,88.0,118.0,9.0,1.0,0.0,0.22,0.278,0.298,0.576,28.0,0.87,0.25227963525835867,0.0121580547112462,0.291866028708134,89.47187535800208,79.78928884986831
680977,Brendan Donovan,12.0,86.0,61.0,40.0,17.0,1.0,2.0,55.0,42.0,1.0,85.0,10.0,285.0,3.0,2.0,6.0,339.0,110.0,99.0,0.0,2.0,0.0,0.298,0.404,0.386,0.79,35.0,1.41,0.16224188790560473,0.0058997050147492625,0.36086956521739133,121.19372207583916,109.43322602672912
572816,Corey Dickerson,18.0,48.0,51.0,21.0,11.0,1.0,4.0,31.0,9.0,1.0,49.0,1.0,177.0,0.0,0.0,2.0,189.0,74.0,78.0,0.0,2.0,0.0,0.277,0.312,0.418,0.73,23.0,0.94,0.164021164021164,0.021164021164021163,0.3125,112.65322488257534,101.12184177153449
666185,Dylan Carlson,1.0,107.0,101.0,47.0,24.0,4.0,8.0,77.0,36.0,0.0,91.0,6.0,372.0,1.0,5.0,5.0,418.0,147.0,176.0,0.0,4.0,0.0,0.245,0.318,0.395,0.713,39.0,1.06,0.18421052631578946,0.019138755980861243,0.2852233676975945,99.6391339214114,98.76694956589601
663457,Lars Nootbaar,5.0,51.0,50.0,36.0,10.0,3.0,8.0,48.0,34.0,0.0,47.0,1.0,192.0,0.0,3.0,2.0,231.0,87.0,73.0,0.0,4.0,0.0,0.245,0.355,0.453,0.808,28.0,1.02,0.2077922077922078,0.03463203463203463,0.2785714285714286,99.6391339214114,111.92664130328751
571448,Nolan Arenado,13.0,78.0,172.0,62.0,34.0,1.0,27.0,62.0,42.0,3.0,136.0,6.0,444.0,3.0,3.0,12.0,496.0,253.0,197.0,0.0,4.0,0.0,0.306,0.371,0.57,0.941,84.0,0.45,0.125,0.05443548387096774,0.30362116991643456,124.44724481613014,130.35020973563556
669357,Nolan Gorman,16.0,36.0,69.0,43.0,11.0,0.0,13.0,86.0,25.0,0.0,60.0,2.0,251.0,0.0,1.0,2.0,278.0,110.0,119.0,0.0,0.0,0.0,0.239,0.313,0.438,0.751,33.0,0.52,0.30935251798561153,0.046762589928057555,0.3092105263157895,97.19899186619315,104.0308262608526
657557,Paul DeJong,50.0,29.0,47.0,15.0,8.0,0.0,6.0,58.0,16.0,0.0,26.0,4.0,158.0,2.0,3.0,2.0,180.0,52.0,70.0,0.0,2.0,0.0,0.165,0.256,0.329,0.585,24.0,0.62,0.32222222222222224,0.03333333333333333,0.20833333333333334,67.10390651850156,81.0359964881475
502671,Paul Goldschmidt,17.0,90.0,103.0,92.0,34.0,0.0,33.0,109.0,64.0,1.0,153.0,4.0,452.0,0.0,5.0,6.0,525.0,286.0,162.0,0.0,3.0,2.0,0.338,0.423,0.633,1.056,105.0,0.87,0.20761904761904762,0.06285714285714286,0.38338658146964855,137.4613357772941,146.28036289142526
669242,Tommy Edman,2.0,138.0,121.0,81.0,21.0,4.0,9.0,93.0,39.0,2.0,118.0,4.0,468.0,3.0,26.0,9.0,513.0,174.0,160.0,1.0,1.0,0.0,0.252,0.314,0.372,0.686,43.0,1.14,0.18128654970760233,0.017543859649122806,0.2970027247956403,102.485966319166,95.02682665105844
641933,Tyler O'Neill,1.0,62.0,76.0,42.0,9.0,1.0,9.0,86.0,28.0,0.0,64.0,4.0,282.0,4.0,9.0,7.0,320.0,102.0,132.0,0.0,6.0,0.0,0.227,0.3,0.362,0.662,47.0,0.82,0.26875,0.028125,0.2849740932642487,92.31870775575669,91.7022729489806
