,playername,gamesPlayed,gamesStarted,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,passedBall,catcherERA
608385,Jesse Winker,17,15,0,0,0,0,.000,0.00,-.--,0.0,17,0,0,0,108,145,49,15,0,13,101,83,1,98,4,.218,449,.343,.339,.682,0,0,.---,8,2204,539,152,50,184,0,3,.251,0.74,0,34.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669302,Logan Gilbert,32,32,13,15,1,29,.966,0.88,1.36,185.2,32,1,0,1,156,211,71,41,3,19,174,49,2,170,6,.242,702,.295,.390,.685,5,6,.545,11,3015,,274,,,4,5,,0.74,0,,3.20,185.2,13,6,0,0,0,0,66,1.18,766,557,32,0,0,1950,.650,6,0,5,0,.684,16.24,0,3.55,8.43,2.38,8.24,3.44,0.92,0,0,,
622379,Luis Castillo,3,0,0,0,0,0,.000,0.00,0.00,3.2,3,0,0,0,5,3,0,0,0,0,4,0,0,2,0,.143,14,.143,.143,.286,0,0,.---,0,60,,2,,,0,0,,1.67,0,,0.00,3.2,0,0,0,0,0,0,0,0.55,14,11,3,0,0,38,.630,0,0,0,0,.---,16.36,1,-.--,9.82,0.00,4.91,0.00,0.00,2,0,,
620443,Luis Torrens,1,0,0,0,0,0,.000,0.00,-.--,0.0,9,0,0,0,1,2,1,0,0,1,0,0,0,2,0,.400,5,.400,1.000,1.400,0,0,.---,0,18,151,5,13,58,0,0,.312,0.50,0,69.50,9.00,1.0,0,0,0,0,0,0,1,2.00,5,3,1,0,0,11,.610,0,0,0,0,.---,18.00,1,-.--,0.00,0.00,18.00,9.00,9.00,0,0,0,4.20
594835,Marco Gonzales,31,31,8,7,0,15,1.000,0.48,0.77,176.0,31,1,0,0,188,225,93,43,0,30,98,48,1,186,7,.270,688,.322,.464,.786,2,8,.800,17,2732,,319,,,3,6,,0.84,0,,4.14,176.0,10,15,0,0,0,0,81,1.33,752,528,31,0,0,1804,.660,7,0,1,1,.400,15.52,0,2.04,5.01,2.45,9.51,4.76,1.53,0,0,,
666374,Matt Brash,37,5,5,3,1,9,.889,0.22,1.50,48.2,37,1,0,0,44,29,25,5,0,3,62,32,1,45,2,.251,179,.371,.330,.701,3,0,.000,7,901,0,59,0,0,1,0,.---,1.52,0,-.--,4.62,48.2,4,4,0,0,8,0,25,1.58,214,146,37,0,0,560,.620,2,0,3,0,.500,18.51,3,1.94,11.47,5.92,8.32,4.62,0.55,20,3,,
571510,Matthew Boyd,8,0,1,2,0,3,1.000,0.38,3.00,9.1,8,0,0,0,9,11,2,0,0,0,7,6,3,5,1,.161,31,.316,.161,.477,0,1,1.000,1,127,,5,,,1,0,,0.82,0,,1.93,9.1,2,0,0,0,0,0,2,1.18,39,28,8,0,0,84,.660,1,0,0,0,1.000,13.61,1,1.17,6.75,5.79,4.82,1.93,0.00,0,0,,
670036,Matthew Festa,50,0,4,4,0,8,1.000,0.16,1.50,48.2,50,1,0,0,33,48,24,6,2,9,59,17,0,40,2,.225,178,.299,.433,.732,1,5,.833,4,819,,77,,,2,0,,0.69,0,,4.25,48.2,2,0,2,3,6,1,23,1.17,199,146,50,0,0,543,.660,2,0,1,0,1.000,16.83,12,3.47,10.91,3.14,7.40,4.44,1.66,12,7,,
571745,Mitch Haniger,53,12,0,0,0,0,.000,0.00,-.--,0.0,12,0,0,0,43,58,27,7,0,9,61,18,1,49,1,.234,209,.296,.397,.693,0,0,.---,7,922,230,83,31,79,0,2,.284,0.74,0,23.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623149,Paul Sewald,64,0,13,3,0,16,1.000,0.25,2.29,63.0,64,0,0,0,43,74,21,4,0,10,69,17,4,32,4,.148,216,.223,.306,.529,2,4,.667,0,962,0,66,0,0,1,1,.---,0.58,0,-.--,2.71,63.0,5,4,20,25,8,5,19,0.78,239,189,64,0,0,628,.650,4,0,1,0,.556,15.27,37,4.06,9.86,2.43,4.57,3.00,1.43,14,5,,
